distrito,cargo,agrupacion_politica,lista,votos
Santa cruz,Diputado nacional,VOTOS BLANCO,VOTOS EN BLANCO,118779
Santa cruz,Diputado nacional,VOTOS TOTALES,VOTOS TOTALES,186811
Santa fe,Diputado nacional,PARTIDO AUTONOMISMA,1A - AUTONOMISTA EN MARCHA,1239
Santa fe,Diputado nacional,PARTIDO AUTONOMISMA,2B - DIGNIDAD ANIMAL,1293
Santa fe,Diputado nacional,PARTIDO AUTONOMISMA,3C - RENACER,1045
Santa fe,Diputado nacional,PARTIDO AUTONOMISMA,4D - FUTURO MEJOR,1756
Santa fe,Diputado nacional,MOVIMIENTO LIBRES DEL SUR,A - AZUL Y ROJO,5875
Santa fe,Diputado nacional,PARTIDO FE,1A - SIEMPRE CON FE,1268
Santa fe,Diputado nacional,PARTIDO FE,2B - VAMOS CON FE,2106
Santa fe,Diputado nacional,PARTIDO FE,3C - NUEVO HORIZONTE,2571
Santa fe,Diputado nacional,ENCUENTRO REPUBLICANO FEDERAL,A - DEMOS,878
Santa fe,Diputado nacional,ENCUENTRO REPUBLICANO FEDERAL,B - MODERADO,1658
Santa fe,Diputado nacional,ENCUENTRO REPUBLICANO FEDERAL,C - REPUBLICANO POPULAR,1126
Santa fe,Diputado nacional,MOVIMIENTO IZQUIERDA JUVENTUD Y DIGNIDAD,1A - SANTA FE SEGURA,1579
Santa fe,Diputado nacional,PROYECTO JOVEN,A - PATRIA UNIDA,448
Santa fe,Diputado nacional,PROYECTO JOVEN,B - FRENTE JOVEN,927
Santa fe,Diputado nacional,PROYECTO JOVEN,C - PATRIA Y FUTURO,175
Santa fe,Diputado nacional,JUNTOS POR EL CAMBIO,A - EL CAMBIO DE NUESTRAS VIDAS,207142
Santa fe,Diputado nacional,JUNTOS POR EL CAMBIO,B - LA FUERZA DEL CAMBIO,361696
Santa fe,Diputado nacional,HACEMOS POR NUESTRO PAIS LA FUERZA DE SANTA FE,A - PARTICIPACION Y SOLIDARIDAD,63471
Santa fe,Diputado nacional,UNION POR LA PATRIA,A - CELESTE Y BLANCA,381519
